,Mobile_Name,User_Rating,Mobile_Price,Total_Ratings_Reviews,Spec_Ram_Rom,Spec_Display,Spec_Camera
96,"iVooMi i1 (Platinum Gold, 16 GB)",3.5 ★,"₹6,222","16,070 Ratings & 3,509 Reviews",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,5.45 inch HD Display,13MP + 2MP Dual Rear Camera | 8MP Front Camera
97,"iVooMi i1 (Jade Black, 16 GB)",3.5 ★,"₹6,222","16,070 Ratings & 3,509 Reviews",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,5.45 inch HD Display,13MP + 2MP Dual Rear Camera | 8MP Front Camera
98,"Apple iPhone 6s Plus (Rose Gold, 32 GB)",4.4 ★,"₹36,999","1,237 Ratings & 227 Reviews",32 GB ROM |,5.5 inch Retina HD Display,12MP Rear Camera | 5MP Front Camera
99,"Samsung Galaxy J8 (Blue, 64 GB)",4.4 ★,"₹18,990","1,829 Ratings & 293 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6 inch HD+ Display,16MP + 5MP Dual Rear Camera | 16MP Front Camera
100,"Lenovo K8 Note (Fine Gold, 32 GB)",4 ★,"₹9,390","1,984 Ratings & 378 Reviews",3 GB RAM | 32 GB ROM |,5.5 inch Full HD Display,13MP + 5MP Dual Rear Camera | 13MP Front Camera
101,"Samsung Galaxy J6 (Blue, 64 GB)",4.3 ★,"₹15,990","1,512 Ratings & 197 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5.6 inch HD+ Display,13MP Rear Camera | 8MP Front Camera
102,"iVooMi Me3 (Midnight Black, 16 GB)",3.5 ★,"₹4,999","10,736 Ratings & 2,994 Reviews",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,5.2 inch HD Display,8MP Rear Camera | 8MP Front Camera
103,"Samsung Galaxy S7 Edge (Silver Titanium, 32 GB)",4.4 ★,"₹29,990","2,716 Ratings & 486 Reviews",4 GB RAM | 32 GB ROM | Expandable Upto 200 GB,5.5 inch Quad HD Display,12MP Rear Camera | 5MP Front Camera
104,"Samsung Galaxy S7 Edge (Black Onyx, 32 GB)",4.4 ★,"₹29,990","2,716 Ratings & 486 Reviews",4 GB RAM | 32 GB ROM | Expandable Upto 200 GB,5.5 inch Quad HD Display,12MP Rear Camera | 5MP Front Camera
105,"Alcatel 3V (Spectrum Gold, 32 GB)",3.5 ★,"₹9,999",163 Ratings & 86 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,6.0 inch Full HD+ Display,16MP + 5MP Dual Rear Camera | 8MP Front Camera
106,Nokia 150/150 DS,4.1 ★,"₹1,881","8,294 Ratings & 1,222 Reviews",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,2.4 inch VGA Display,0.3MP Rear Camera
107,"Asus Zenfone 4 Selfie (Gold, 32 GB)",4.1 ★,"₹8,999","17,169 Ratings & 3,945 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 2 TB,5.5 inch HD Display,13MP Rear Camera | 13MP Front Camera
